iter	RMSE
339	4.258815521
340	4.256514813
341	4.255604115
342	4.24972923
343	4.24887503
344	4.246299499
345	4.240809374
346	4.238871234
347	4.235430028
348	4.232161867
349	4.228893623
350	4.22828437
351	4.225826969
352	4.22185701
353	4.2178992
354	4.216007153
355	4.213537866
356	4.208444634
357	4.205427613
358	4.204857284
359	4.202159322
360	4.200067721
361	4.19953237
362	4.195513218
363	4.191971072
364	4.191469388
365	4.18902454
366	4.184468441
367	4.182466509
368	4.179718188
369	4.178026515
370	4.17550903
371	4.174617323
372	4.171544941
373	4.16817345
374	4.165851844
375	4.163359593
376	4.161376657
377	4.156679914
378	4.152553435
379	4.149892154
380	4.146998165
381	4.144853981
382	4.142175366
383	4.141728752
384	4.139590301
385	4.137876201
386	4.13308691
387	4.129599235
388	4.124542795
389	4.121396505
390	4.116190887
391	4.115457123
392	4.113954908
393	4.11270782
394	4.109554954
395	4.106737086
396	4.103189409
397	4.098467976
398	4.0960522
399	4.094401308
400	4.094082052
401	4.090364295
402	4.088398526
403	4.085855188
404	4.083703444
405	4.080442436
406	4.078196155
407	4.077801125
408	4.075927636
409	4.071824169
410	4.069568274
411	4.067530895
412	4.06498189
413	4.061728238
414	4.057569147
415	4.053976602
416	4.051253037
417	4.048709025
418	4.045716316
419	4.040956257
420	4.035746039
421	4.032626982
422	4.032125679
423	4.030765308
424	4.028538261
425	4.025760705
426	4.022631669
427	4.019334141
428	4.016855191
429	4.015070325
430	4.011340169
431	4.006591367
432	4.003353601
433	3.999133411
434	3.996751583
435	3.994536209
436	3.991744418
437	3.991362106
438	3.989894022
439	3.988226016
440	3.983804657
441	3.980504479
442	3.976900566
443	3.976536989
444	3.97031179
445	3.966705415
446	3.964939196
447	3.963295424
448	3.960741317
449	3.958819069
450	3.956463959
451	3.952029713
452	3.949352386
453	3.947193339
454	3.94653226
455	3.945356922
456	3.942699255
457	3.938980631
458	3.938334638
459	3.935072528
460	3.934170583
461	3.932782507
462	3.930380608
463	3.929730657
464	3.928867364
465	3.92475767
466	3.92179976
467	3.919959524
468	3.919637908
469	3.916207726
470	3.915728025
471	3.914925278
472	3.913211851
473	3.911826308
474	3.906775112
475	3.903765832
476	3.899596574
477	3.896192286
478	3.895710743
479	3.893349184
480	3.891256338
481	3.885665311
482	3.884350455
483	3.882845877
484	3.878815375
485	3.878240157
486	3.877504335
487	3.875953513
488	3.872127253
489	3.869694907
490	3.867507721
491	3.86535104
492	3.860117941
493	3.857311385
494	3.855552572
495	3.852553298
496	3.848408539
497	3.84689453
498	3.843775076
499	3.840146105
.026282268
